title,desc
100个赞就从微软离职！你敢赞，我敢走！,"国庆之后第一天上班好无聊，想辞职了，集齐100个赞就离职！！！
	
毕业之后来微软当码农👨‍💻也有四年了，95后P7+
，做AI软件相关开发，头两年对一切都很新奇，现在只觉得每天是在搬砖，每一天都好无聊啊🥱，要不来100个赞，俺直接跑路！"
今天是程序员节🧑‍💻,穿上我心爱的格子衫
左滑还原程序员的刻板印象,"上班是潦草李工
下班是哇噻小哥"
♥两个程序员的日常♥,"嗯…
秃头是会传染的吧…
🥰
@小小黄"
公司从大厂挖来的程序员，听说月薪45K，连老板都忌惮三分，今天一不小心看到他的操作，这谁顶得住?,公司从大厂挖来的程序员，听说月薪45K，连老板都忌惮三分，今天一不小心看到他的操作，这谁顶得住?
程序员和设计师的区别,别的不说，女装这块，属实拿捏。曾经在github上有个开源项目，Dress，好家伙，全是女装大佬的照片，绝对刷新对程序员的刻板印象！[doge]
满足你对黑客的一切幻想！,﻿
萝卜快跑工程师长什么样,p2我的周一精神状态
不想当程序员了，想去当模特可以吗,"但其实吃饭的专业和热爱的行业都不想放弃
所以加倍努力吧!
ps:多睡觉多睡觉小宝们，不然真的会长黑眼圈TvT"
程序员笑话,看着看着就笑不出来了[哭惹R]
左滑一下少一件,
兜兜转转又穿回程序员格子衫,
北京时间8月19日下午两点被确诊,"领导在群里这么说 然而身为三无二本的我还在群里
大龄女程序媛没有春天"
当程序员减重30斤并学会打扮后,每个人都是潜力股
只有程序员才懂的梗,"我最开始写这段代码的时候，只有我和上帝知道这段代码是什么意思。
过了一周之后，只有上帝知道了。"
幸好当年没转码,"幸好当年没转码，横空冲出来一个ChatGPT，刚开始还说代替不了人类，最近越来越猖狂。
很多大厂都开始节流，其中一个重点环节就是降低招收NG，入门级码农基本没有存在的必要了...
表妹三年前入读NYU，借鉴了我这个“艺术生”的生活状态，硬着头皮读了自己不喜欢的CS，就是为了图毕业好找工作。结果读一半出个ChatGPT，现在看着学长学姐一个个找不到工作或被裁，她开始提前进入“中年危机”了。
	
老有人问我为什么学电影这么不practical的专业。
现在看来，虽然也挺坑，但至少读了自己喜欢的东西，不枉青春一场。
世界变得太快，谁真能掌握明天的成功密码？自己先爽了算吧。
处处算进到头落空，不是比摆烂等船直更让人心塞么？
	
现在拿CPT顺手读读MS IT，虽然也不能变成coder或真的IT人，至多是算加个加个技能buff。
但恰恰是因为不指望靠它就业，反倒学起来没那么心烦。"
程序员的刻板印象/最近喜欢的饰品APM,"萌新程序员在线聊天[doge]
顺便分享下最近喜欢的饰品APM Monaco。最近偏爱酷酷的街头风和不被定义的中性感，手工编织的红绳不羁又自由，坚硬的锆石缜密又理性。日常穿搭之余配上颈绳，为日常生活添加一丝艺术气息"
感觉程序员这个行业跟做🐔一模一样,"高薪青春饭，35岁落得一身病
要么自己干不下去灰头土脸滚蛋
要么混到上边管理层继续当老鸨
没时间搞社交，一点实权都没有，社会地位约等于0，亲戚朋友除了借钱也不会高看你一眼
所以花这么多年拿了个学历，不如少走十年弯路，直接出来卖"
程序员：代码能跑就不要动,
程序员秒懂的地狱笑话,
程序员日常 | 程序员为什么不能一次性写,"真是一行写功能，十行防“刁民”呀
﻿"
